id,标题,作者,来源,时间,邮箱
498,采用多尺度多路混合注意力机制的脑电情绪识别方法,谷学静;刘佳;郭宇承;杨赵辉,计算机工程与应用,2024-01-04 16:32,
499,基于NOMA-VLC系统的GWO-DNN信道估计方法,邱涵;张峰;赵黎,光通信技术,2024-01-04 14:13,
500,基于等价输入干扰误差估计的欠驱动PWM整流器自抗扰控制,黄自鑫;于澄嵩;汪伟;林梦颖;徐达,上海交通大学学报,2024-01-04 14:09,
501,电子、信息化、数字与数据领导力：概念语境与谱系分析,高鸿怡;凌佳亨,四川行政学院学报,2024-01-04 12:06,
502,基于神经网络的医学图像特征提取算法研究,曾叶纯;汪辉进,西安文理学院学报(自然科学版),2024-01-04,
503,西安市耕作土壤重金属含量空间分布特征与评价分析,李广文;鲍锋;高天鹏;申圆圆;王亚妮;,西安文理学院学报(自然科学版),2024-01-04,
504,补阳还五汤抗脑卒中网络动力学研究,谯茹;樊启猛;贺鹏;李海英;张伟龙;,中草药,2024-01-04,
505,北海市预防接种门诊服务状况的空间聚集性研究,周玲;刘青华;白海涛;冯辉煌;梁家雯,医学动物防制,2024-01-04,
506,Diagnostic workup for esophageal cancer patients can be improved with checklists and clearer protocols; a comparative study between two tertiary centers in Europe,van Doesburg J.R.;Luttikhold J.;Lindblad M.;van Berge Henegouwen M.I.;Eshuis W.J.,European Journal of Surgical Oncology,2024-01-04,
507,Pulmonary arterial hypertension associated with portal hypertension: Noninvasive comprehensive assessment using computed tomography,Hayashi Hidetaka;Oda Seitaro;Kidoh Masafumi;Anai Miki;Hirakawa Kyoko,Radiology Case Reports,2024-01-04,
508,The impact of the implementation of computerized insulin order sets for the control of hyperglycemia in hospitalized cardiac patients.,Kensara Raed Ehsan;Ismail Sherin;Aseeri Mohammed;Hasan Hani;Al Rahimi Jamilah,Cardiovascular endocrinology & metabolism,2024-01-04,
509,Automated sign language detection and classification using reptile search algorithm with hybrid deep learning,Alsolai Hadeel;Alsolai Leen;Al-Wesabi Fahd N.;Othman Mahmoud;Rizwanullah Mohammed,Heliyon,2024-01-04,
510,"Feasibility of artificial intelligence its current status, clinical applications, and future direction in cardiovascular disease",Sandeep Bhushan;Liu Xian;Huang Xin;Wang Xiaowei;Mao Long,Current Problems in Cardiology,2024-01-04,
511,Protocol for assessing neighborhood physical disorder using the YOLOv8 deep learning model,Li Yan;Ma Yue;Long Ying,STAR Protocols,2024-01-04,
512,Establishment of a local diagnostic reference level for computed tomography chest and abdomen in two different cities in Saudi Arabia,Ahmed Amna Mohamed;Musa Alamin;Medani Afaf;Mahmoud Mustafa;Osman Hamid,Applied Radiation and Isotopes,2024-01-04,
513,Behind the Bait: Delving into PhishTank's hidden data,Yasin Affan;Fatima Rubia;Khan Javed Ali;Afzal Wasif,Data in Brief,2024-01-04,
514,Validating computer-generated measures of linguistic style matching and accommodation in patient-clinician communication,Khaleghzadegan Salar;Rosen Michael;Links Anne;Ahmad Alya;Kilcullen Molly,Patient Education and Counseling,2024-01-04,
515,Calibrating GESPECOR model of computing the full-energy peak efficiency of coaxial high-purity germanium detectors by Monte Carlo simulation,Gurau D.;Stanga D.;Done L.;Sima O.;Ilie G.,Applied Radiation and Isotopes,2024-01-04,
516,WaterHyacinth: A comprehensive image dataset of various Water hyacinth species from different regions of Bangladesh,Kabir Hasnain;Juthi Taslima;Islam Md. Tarequl;Rahman Md. Wahidur;Khan Rahat,Data in Brief,2024-01-04,
517,Ecology & computer audition: Applications of audio technology to monitor organisms and environment,Schuller Björn W.;Akman Alican;Chang Yi;Coppock Harry;Gebhard Alexander,Heliyon,2024-01-04,
518,Computer vision-aided mmWave communications for indoor medical healthcare,Hua Zizheng;Ke Ying;Yang Ziyi;Di Zhang;Pan Gaofeng,Computers in Biology and Medicine,2024-01-04,
519,AI创业者谈大模型：离实用价值还有点远,陈杨园,第一财经日报,2024-01-04,
520,人口老龄化背景下互联网使用对农村中老年群体消费的异质性影响研究——基于CHARLS的实证分析,赵如婧,云南农业大学学报(社会科学),2024-01-03 18:03,
521,pH值对大豆分离蛋白功能性质的影响及其精准调控研究,王伟宁;张海荣;王宁;王立琦;于殿宇;,农业机械学报,2024-01-03 17:24,
522,类金刚石结构的分子动力学与人工神经网络耦合研究,石湛杨;陈志立;杜广煜,真空与低温,2024-01-03 15:57,
523,神经网络压缩联合优化方法的研究综述,宁欣;赵文尧;宗易昕;张玉贵;陈灏;,智能系统学报,2024-01-03 14:49,
524,基于混合注意力机制的管道漏磁缺陷分类实验,张璐莹;卞雨辰;周立娇;蒋鹏;刘英,实验技术与管理,2024-01-03 14:04,
525,基于改进松鼠搜索算法优化神经网络的数控机床进给系统热误差预测,杨赫然;李帅;孙兴伟;董祉序;刘寅,仪器仪表学报,2024-01-03 11:29,
526,专利形成全周期视角下的高价值专利识别体系研究,夏芸;魏田苡薇;洪楷宣;马硕,科学与管理,2024-01-03 10:57,
527,基于多阶段关联的多目标跟踪算法,霍旭;盖绍彦;洪濡;周伟典;达飞鹏,仪器仪表学报,2024-01-03 10:39,
528,基于Python的中医医案智能收集系统研究,谭世雨;余江维;杜志慧,亚太传统医药,2024-01-03,
529,VR影像的镜头“误读”与空间蒙太奇考察,钟芝红,电影艺术,2024-01-03,
530,EEG dataset for energy data visualizations,Kucukler Omer Faruk;Amira Abbes;Malekmohamadi Hossein,Data in Brief,2024-01-03,
531,A comprehensive dragon fruit image dataset for detecting the maturity and quality grading of dragon fruit,Khatun Tania;Nirob Md. Asraful Sharker;Bishshash Prayma;Akter Morium;Uddin Mohammad Shorif,Data in Brief,2024-01-03,
532,Metallic artifacts-free spectral computed tomography angiography based on renal clearable bismuth chelate,Shu Gang;Zhao Lu;Li Fengtan;Jiang Yingjian;Zhang Xuening,Biomaterials,2024-01-03,
533,Validation of the cognitive section of the Penn computerized adaptive test for neurocognitive and clinical psychopathology assessment (CAT-CCNB),Di Sandro Akira;Moore Tyler M.;Zoupou Eirini;Kennedy Kelly P.;Lopez Katherine C.,Brain and Cognition,2024-01-03,
534,Biomechanical analysis of peri-prosthetic bone response to hybrid threaded zirconia dental implants: An in silico model,Mishra Deepa;Basu Bikramjit,Journal of the Mechanical Behavior of Biomedical Materials,2024-01-03,
535,Applying deep learning to segmentation of murine lung tumors in pre-clinical micro-computed tomography,Montgomery Mary Katherine;Duan Chong;Manzuk Lisa;Chang Stephanie;Cubias Aiyana,Translational Oncology,2024-01-03,
536,OnDev-LCT: On-Device Lightweight Convolutional Transformers towards federated learning,Thwal Chu Myaet;Nguyen Minh N.H.;Tun Ye Lin;Kim Seong Tae;Thai My T.,Neural Networks,2024-01-03,
537,Development of a three-dimensional computer model of the equine heart using a polyurethane casting technique and in vivo contrast-enhanced computed tomography,Vernemmen I.;Van Steenkiste G.;Hauspie S.;De Lange L.;Buschmann E.,Journal of Veterinary Cardiology,2024-01-03,
538,Regional Strain of Right Ventricle From Computed Tomography Improves Risk Stratification of Right Ventricle Failure.,Scott Anderson;Chen Zhennong;Kligerman Seth;Kim Paul;Tran Hao,ASAIO journal (American Society for Artificial Internal Organs : 1992),2024-01-03,
539,数实融合，现代生活更智能,,科技日报,2024-01-03,
540,小角中子散射物理模型自动化筛选方法研究,李亚康;陈刚,计算机工程,2024-01-02 17:32,
541,上前牙种植单冠修复体切导的数字化设计正确度,李穗;马雯洁;王时敏;丁茜;孙瑶;,北京大学学报(医学版),2024-01-02 16:27,
542,基于变滤波时间常数和模糊控制的复合储能二次调频策略,张仕鹏;李培强;张亦君;刘喜凤,上海交通大学学报,2024-01-02 15:36,
543,基于多特征融合的智能合约缺陷检测方法,王奕丰;曾诚;全擎宇;王娇然;何鹏,计算机工程,2024-01-02 15:26,
544,考虑技术效率不确定的风险规避制造商的绿色技术创新策略,林志炳;蔡伟军,计算机集成制造系统,2024-01-02 15:26,
545,基于神经网络管道剩余强度评估特征分析,龙蒙召;王战辉;李瑞瑞;高星;殷香奎;,化工科技,2024-01-02 15:23,
546,低空空域容量评估研究综述,张洪海;夷珈;李姗;刘皞;钟罡,交通运输工程学报,2024-01-02 15:12,
547,基于模型相似度和本地损失的双重客户端选择算法,李红娇;王宝金;王朝晖;胡仁豪,计算机工程,2024-01-02 15:04,
548,基于多绘制管线的大规模并行体绘制性能优化技术,王华维;刘若妍;艾志玮;曹轶,计算机工程,2024-01-02 14:33,
549,3D NAND闪存中氟攻击问题引起的字线漏电的改进,方语萱;夏志良;杨涛;周文犀;霍宗亮,物理学报,2024-01-02 14:33,
550,面向多智能体与双层卸载的车联网卸载方法,张冀;龚雯雯;朵春红;齐国梁,计算机工程,2024-01-02 12:08,
551,基于机器学习的铆钉缺陷检测技术,王慧;舒琪;蒋朝根,计算机应用与软件,2024-01-02 11:08,
552,基于.NET的航天电磁继电器电寿命试验系统分析软件设计与实现,孙志刚;王国涛;高萌萌;吴耀阳;蒋爱平,计算机应用与软件,2024-01-02 10:57,
553,基于位置隐私保护的空间众包任务分配方法,王琦;高铭,计算机应用与软件,2024-01-02 10:25,
554,基于SDAE的连续梁桥损伤识别方法研究,王鹏,铁道建筑技术,2024-01-02 10:04,
555,基于变参数的logistic混沌系统图像加密算法,赵耿;李文健;马英杰,计算机应用与软件,2024-01-02 09:51,
556,边缘计算资源调度:历史、架构、建模与方法分析,周绪;苗辉;杨静;江武;廖晓燕;,计算机集成制造系统,2024-01-02 09:07,
557,改进YOLOv7算法的钢材表面缺陷检测研究,高春艳;秦燊;李满宏;吕晓玲,计算机工程与应用,2024-01-02 08:43,
558,互联网对碳排放强度的影响,刘鑫雨,合作经济与科技,2024-01-02,
559,基于物联网的电力变压器过热故障红外检测系统设计,温启良;文华,电子设计工程,2024-01-02,
560,基于多目标粒子群与模糊控制的AMT自适应换挡规律研究,杜娟;杨振东;黄建刚;刘晓东,西南大学学报(自然科学版),2024-01-02,
561,The embeddings world and Artificial General Intelligence,Haghir Chehreghani Mostafa,Cognitive Systems Research,2024-01-02,
562,Computer vision to advance the sensing and control of built environment towards occupant-centric sustainable development: A critical review,Wang Junqi;Jiang Lanfei;Yu Hanhui;Feng Zhuangbo;Castaño-Rosa Raúl,Renewable and Sustainable Energy Reviews,2024-01-02,
563,Computerized tomography analysis of potential geochemical reactions of carbonate rocks during underground hydrogen storage,Al-Yaseri Ahmed;Rizwanullah Hussaini Syed;Fatah Ahmed;Al-Qasim Abdulaziz S.;Patil Pramod D.,Fuel,2024-01-02,
564,Multifunctional nanoplatform based on tetragonal BaTiO3-Au@polydopamine for computed tomography imaging-guided photothermal synergistic and enhanced piezocatalytic cancer therapy,Xu Qi;Chen Gong;Hu Han;Mo Zhimin;Chen Wenqiu,Journal of Colloid And Interface Science,2024-01-02,
565,Establishment of an institutional diagnostic reference level for vascular lower extremity computed tomography angiography,Sulieman Abdelmoneim;Alkhorayef Mohammed;Alkhaybari Essam;Jaafar Rasha;Elnour Abdelrahman,Radiation Physics and Chemistry,2024-01-02,
566,Feature rectification and enhancement for no-reference image quality assessment,Wu Wei;Huang Daoquan;Yao Yang;Shen Zhuonan;Zhang Hua,Journal of Visual Communication and Image Representation,2024-01-02,
567,A computer aided system for skin cancer detection based on Developed version of the Archimedes Optimization algorithm,Ding Huan;Huang Qirui;Alkhayyat Ahmed,Biomedical Signal Processing and Control,2024-01-02,
568,Utilizing semantic-level computer vision for fracture trace characterization of hard rock pillars in underground space,Li Chuanqi;Zhou Jian;Dias Daniel,Geoscience Frontiers,2024-01-02,
569,Systematic review on weapon detection in surveillance footage through deep learning,Santos Tomás;Oliveira Hélder;Cunha António,Computer Science Review,2024-01-02,
570,Straight Leg Raise Cannot Replace Computed Tomography in the Detection of Spinal Column Fractures Straight Leg Raise for Spinal Fractures,Hohenleitner Julien;Saporito Richard;Hirsch Mitchell;Ravikumar Vaishali;Gawdi Rohin,Journal of Surgical Research,2024-01-02,
571,High-throughput screening of oxygen ion conductors with BaaXbOc and SrdYeOf compositions: Crystallochemical and DFT-calculations,Kabanova Natalia A.;Galstyan Marya A.;Frolov Eugeny I.,Solid State Ionics,2024-01-02,
572,Machine learning and computer vision techniques in continuous beehive monitoring applications: A survey,Bilik Simon;Zemcik Tomas;Kratochvila Lukas;Ricanek Dominik;Richter Miloslav,Computers and Electronics in Agriculture,2024-01-02,
573,Vision-based autonomous navigation stack for tractors operating in peach orchards,Xu Shengli;Rai Rahul,Computers and Electronics in Agriculture,2024-01-02,
574,NURBS-enhanced finite element method (NEFEM) on quadrilateral meshes,Montanari Mattia;Santi Gian Maria;Sevilla Ruben;Alfredo Liverani;Petrinic Nik,Finite Elements in Analysis & Design,2024-01-02,
575,A hybrid decision support system for adaptive trading strategies: Combining a rule-based expert system with a deep reinforcement learning strategy,Kwon Yuhee;Lee Zoonky,Decision Support Systems,2024-01-02,
576,Computer-assisted analysis of routine EEG to identify hidden biomarkers of epilepsy: A systematic review,Lemoine Émile;Neves Briard Joel;Rioux Bastien;Gharbi Oumayma;Podbielski Renata,Computational and Structural Biotechnology Journal,2024-01-02,
577,Computer vision-based six layered ConvNeural network to recognize sign language for both numeral and alphabet signs,Rahaman Muhammad Aminur;Oyshe Kabiratun Ummi;Chowdhury Prothoma Khan;Debnath Tanoy;Rahman Anichur,Biomimetic Intelligence and Robotics,2024-01-02,
578,Corrigendum to “Expanding the Gordon-Loeb model to cyber-insurance” [Computers & Security Volume 112 (2022) 102533],Skeoch Henry R.K.,Computers & Security,2024-01-02,
579,Fluorescent nucleic acid probes for DNA repair enzymes: Design strategies and applications,Luan Xinyu;Tang Xiaoyan;Deng Jiewei;Yang Yunyun;Zhai Junqiu,Trends in Analytical Chemistry,2024-01-02,
580,Visual Attention and ODE-inspired Fusion Network for image dehazing,Yin Shibai;Yang Xiaolong;Lu Ruyuan;Deng Zhen;Yang Yee-Hong,Engineering Applications of Artificial Intelligence,2024-01-02,
581,"Automated guided vehicle (AGV) lane-keeping assist based on computer vision, and fuzzy logic control under varying light intensity",Munadi M.;Radityo Bagas;Ariyanto Mochammad;Taniai Yoshiaki,Results in Engineering,2024-01-02,
582,The quantum house of cards.,Waintal Xavier,Proceedings of the National Academy of Sciences of the United States of America,2024-01-02,
583,Prevalence of Abnormal Coronary Function in Patients With Angina and No Obstructive Coronary Artery Disease on Coronary Computed Tomography Angiography: Insights From the CorCTA Trial,Taqueti Viviany R.,Circulation,2024-01-02,
584,Applicability of artificial intelligence-based computer-aided detection (AI-CAD) for pulmonary tuberculosis to community-based active case finding.,Okada Kosuke;Yamada Norio;Takayanagi Kiyoko;Hiasa Yuta;Kitamura Yoshiro,Tropical medicine and health,2024-01-02,
585,Predicting the quality attributes related to geographical growing regions in red-fleshed kiwifruit by data fusion of electronic nose and computer vision systems.,Asadi Mojdeh;Ghasemnezhad Mahmood;Bakhshipour Adel;Olfati JamalAli;Mirjalili Mohammad Hossein,BMC plant biology,2024-01-02,
586,Artificial intelligence for oral squamous cell carcinoma detection based on oral photographs: A comprehensive literature review.,de Chauveron Jérôme;Unger Max;Lescaille Géraldine;Wendling Laurent;Kurtz Camille,Cancer medicine,2024-01-02,
587,Cystic renal mass screening: machine-learning-based radiomics on unenhanced computed tomography.,Huang Lesheng;Ye Yongsong;Chen Jun;Feng Wenhui;Peng Se,"Diagnostic and interventional radiology (Ankara, Turkey)",2024-01-02,
588,The importance of bone density and anatomical structure in superior semicircular canal dehiscence.,Berkiten Güler;Çelik Cem;Tunç Melis Koşar;Gürbüz Defne;Bircan Hasan Sami,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,2024-01-02,
589,Hexadecanoic acid analogs as potential CviR-mediated quorum sensing inhibitors in Chromobacterium violaceum: an in silico study.,Senthil Renganathan;Archunan Govindaraju;Vithya Dharmaraj;Saravanan Konda Mani,Journal of biomolecular structure & dynamics,2024-01-02,
590,Identification of a Sonically Activated Degrader of Methionine Adenosyltransferase 2A by an in Silico Approach Assisted with the Hole-Electron Analysis.,He Huan;Wang Ziwei;Peng Xueke;Qing Luolong;Zhang Yu,Journal of medicinal chemistry,2024-01-02,
591,Fully Automated Agatston Score Calculation From Electrocardiography-Gated Cardiac Computed Tomography Using Deep Learning and Multi-Organ Segmentation: A Validation Study.,Gautam Ashish;Raghav Prashant;Subramaniam Vijay;Kumar Sunil;Kumar Sudeep,Angiology,2024-01-02,
592,深研潜行，发现之路更坚实,,科技日报,2024-01-02,
593,嵌入式系统“FPGA+SoC”实践教学体系内容重构,高俊枫;黄乐天;胡庆,高等工程教育研究,2024-01-01,
594,基于机器视觉的呼出气体酒精含量检测仪自动检定装置,张湖波;邹细勇;邵建文;赵存彬;骆蕾,现代电子技术,2024-01-01,
595,基于机器视觉的钢水自动化取样,黄莉;邢津榕;武迎春,现代电子技术,2024-01-01,
596,基于用户画像的暖通空调智能调控,胡锐;袁海峰;芮忠,现代电子技术,2024-01-01,
597,基于随机循环网络的汉字骨架生成,高奕星;施霖,现代电子技术,2024-01-01,
598,汽车智能驾舱驾驶疲劳检测系统设计,柏俊波;周涛琪;柏俊杰,现代电子技术,2024-01-01,
599,基于神经网络算法的LCDs模组强度提升研究,余平甲;刘巍;孙艳生;查国平;张智;,现代电子技术,2024-01-01,
600,An in silico approach to decipher immunogenic epitopes in Toxoplasma gondii GRA1 and GRA3,Safari Narges;Khodaei Ardakan Alireza;Hamedi Erfan;Kalantarzadeh Faezeh;Kaveh Pedram,Informatics in Medicine Unlocked,2024-01-01,
601,A comprehensive review of discovery and development of drugs discovered from 2020–2022,Shareef Usman;Altaf Aisha;Ahmed Madiha;Akhtar Nosheen;Almuhayawi Mohammed S.,Saudi Pharmaceutical Journal,2024-01-01,
602,Evolutionary deep learning for computer vision and image processing,Al-Sahaf Harith;Mesejo Pablo;Bi Ying;Zhang Mengjie,Applied Soft Computing,2024-01-01,
603,Phenotyping Coronary Plaque by Computed Tomography in Premature Coronary Artery Disease,Rahoual G.;Zeitouni M.;Charpentier E.;Ritvo P.-G.;Rouanet S.,Archives of Cardiovascular Diseases,2024-01-01,
604,Hemodynamics of proximal coronary lesions in patient undergoing aortic valve replacement: Patient-specific in silico study,Bellouche Y.;Abdelli S.;Hannachi S.;Benic C.;Nicol P.-P.,Archives of Cardiovascular Diseases,2024-01-01,
605,Synthetic data augmentation by diffusion probabilistic models to enhance weed recognition,Chen Dong;Qi Xinda;Zheng Yu;Lu Yuzhen;Huang Yanbo,Computers and Electronics in Agriculture,2024-01-01,
606,Fibre and failure characterization in long glass fibre reinforced polypropylene by X-ray computed tomography,Maurer Julia;Salaberger Dietmar;Jerabek Michael;Fröhler Bernhard;Kastner Johann,Polymer Testing,2024-01-01,
607,The Probability of Metastases Within Different Prostate-specific Antigen Ranges Using Prostate-specific Membrane Antigen Positron Emission Tomography in Patients with Newly Diagnosed Prostate Cancer,Luining Wietske I.;Hagens Marinus J.;Meijer Dennie;Ringia Joanneke B.;de Weijer Tessa,European Urology Open Science,2024-01-01,
608,Computed Tomography Reconstruction from Undersampled Data: An Application to Biomedical Imaging,Zenith Purisha,IAENG International Journal of Applied Mathematics,2024-01-01,
609,"Comments on: Regarding ""A study on correlation of computer vision syndrome and dry eye disease and knowledge regarding its associated factors among health professionals"".",Iqbal Mohammed;Said Omar,Indian journal of ophthalmology,2024-01-01,
610,X-ray-induced acoustic computed tomography and its applications in biomedicine.,Yan Yuchen;Xiang Shawn Liangzhong,Journal of biomedical optics,2024-01-01,
611,The interoperability of crystallographic data and databases.,Brink Alice;Bruno Ian;Helliwell John;McMahon Brian,IUCrJ,2024-01-01,
612,Technical note: Excel spreadsheet calculation of the Henssge equation as an aid to estimating postmortem interval,Otatsume Masaomi;Shinkawa Norihiro;Tachibana Myu;Kuroki Hisanaga;Ro Ayako,Journal of Forensic and Legal Medicine,2024-01-01,
613,A reference equation for lung volume on computed tomography in Japanese middle-aged and elderly adults,Tanabe Naoya;Sato Susumu;Shimada Takafumi;Kaji Shizuo;Shiraishi Yusuke,Respiratory Investigation,2024-01-01,
614,"Safety, tolerability, and efficacy of NLY01 in early untreated Parkinson's disease: a randomised, double-blind, placebo-controlled trial",McGarry Andrew;Rosanbalm Shane;Leinonen Mika;Olanow C Warren;To Dennis,The Lancet Neurology,2024-01-01,
615,Diagnosis of pancreatic focal nesidioblastosis assisted by dual‑nuclide tracer positron emission tomography/computed tomography: A case report.,Zhu Guangwen;Xie Liting;Hu Xianwen,Experimental and therapeutic medicine,2024-01-01,
616,Very Rare Liver Tumor: PEComa Case Report with and a Review of Literature.,Yazıcı Celal;Gündoğdu Elif,The Indian journal of radiology & imaging,2024-01-01,
617,Spectrum of Multidetector Computed Tomography Imaging Findings in Iatrogenic Abdominopelvic Injuries: A Comprehensive Pictorial Review.,Subramanian Pavithra;Sharma Arun;Soundararajan Raghuraman;Singhal Manphool,The Indian journal of radiology & imaging,2024-01-01,
618,Deep learning in vivo catheter tip locations for photoacoustic-guided cardiac interventions.,Gubbi Mardava R;Assis Fabrizio;Chrispin Jonathan;Bell Muyinatu A Lediju,Journal of biomedical optics,2024-01-01,
619,Effects of Home-Based Computerized Cognitive Training in Community-Dwelling Adults With Mild Cognitive Impairment.,Baik Ji Soo;Min Ji Hong;Ko SungHwa;Yun Mi Sook;Lee Byunghoon,IEEE journal of translational engineering in health and medicine,2024-01-01,
620,Adaptive t-vMF dice loss: An effective expansion of dice loss for medical image segmentation,Kato Sota;Hotta Kazuhiro,Computers in Biology and Medicine,2024-01-01,
621,Fixed and Relative Positioning of Scans for High Resolution Peripheral Quantitative Computed Tomography,Bugbird Annabel R.;Klassen Rachel E.;Bruce Olivia L.;Burt Lauren A.;Edwards W. Brent,Journal of Clinical Densitometry,2024-01-01,
622,Central insulin dysregulation in antipsychotic-naïve first-episode psychosis: In silico exploration of gene expression signatures,Lee Jiwon;Xue Xiangning;Au Emily;McIntyre William B.;Asgariroozbehani Roshanak,Psychiatry Research,2024-01-01,
623,Optimizing Computer-Aided Diagnosis with Cost-Aware Deep Learning Models.,Patel Charmi;Wang Yiyang;Ramaraj Thiruvarangan;Tchoua Roselyne;Furst Jacob,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,2024-01-01,
624,Health Data Sharing with the Goal of Value Creation; Trying to Develop a Framework Using Qualitative Content Analysis.,Zonoobi Mojtaba;Elahi Shaban;Khansari Mohammad;Hassanzadeh Alireza;Saheb Tahereh,Archives of academic emergency medicine,2024-01-01,
625,Arterial Perfusion of the Medial Femoral Trochlea Flap: Elucidation of Perfusion By Micro-Computed Tomographic Angiography,Abadeer Andrew I.;Hembd Austin;Brooks Daina;Cunningham Bryan W.;Higgins James P.,Plastic & Reconstructive Surgery-Global Open,2024-01-01,
626,Toward the Deimplementation of Computed Tomography Urogram for Patients With Low- to Intermediate-risk Microscopic Hematuria: A Mixed-method Study of Factors Influencing Continued Use.,,Urology practice,2024-01-01,
627,Perfusion vs non-perfusion computed tomography imaging in the late window of emergent large vessel ischemic stroke: A systematic review and meta-analysis.,Diestro Jose Danilo B;Omar Abdelsimar T;Zhang YuQing;Kishibe Teruko;Mastrolonardo Alexander,PloS one,2024-01-01,
628,Darcy-Forchheimer flow with viscoelastic Cattaneo-Christov heat flux model and nonlinear thermal radiation: A numerical investigation,Ghazwani Hassan Ali;Ijaz Misbah;Nadeem Sohail;Khan Hammad;Alzabut J.,Case Studies in Thermal Engineering,2024-01-01,
629,Retrospective reconstruction of four-dimensional magnetic resonance from interleaved cine imaging – A comparative study with four-dimensional computed tomography in the lung,Peteani Giulia;Paganelli Chiara;Giovannelli Anna Chiara;Bachtiary Barbara;Safai Sairos,Physics and Imaging in Radiation Oncology,2024-01-01,
630,OR287 - RIGHT MAXILLARY TUMOR WITH IMPACTED TEETH — COMPUTER-AIDED SURGERY,Hsien Y.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
631,P132 - EVALUATION OF THE IMPACTED MAXILLARY THIRD MOLARS' ROOT USING A DENTAL CONE-BEAM COMPUTED TOMOGRAPHY IN A JAPANESE POPULATION AND COMPARISON WITH PANORAMIC RADIOGRAPHS,Ogawa A.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
632,OR304 - LOOP-X! THE FIRST 150 CASES OF INTRAOPERATIVE CONE-BEAM COMPUTED TOMOGRAPHY,Enzinger S.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
633,OR344 - EVALUATION OF NASOPHARYNGEAL DIMENSIONS THROUGH COMPUTED TOMOGRAPHY AND MODIFIED ANTERIOR RHINOMANOMETRY IN PATIENTS WITH CLEFT LIP AND PALATE SUBMITTED TO ORTHOGNATHIC SURGERY,Medeiros M.;Medeiros M.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
634,P136 - CONE-BEAM COMPUTED TOMOGRAPHY IMAGE ACQUISITION X ORIENTATION IN VIRTUAL PLANNING: WHAT CHANGES IN HEAD POSITION?,Thereza-Bussolaro C.;Candido I.;Zanatta E.;Queiroz F.;Gialain I.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
635,"OR195 - MINIMALLY-INVASIVE DEEP CIRCUMFLEX ILIAC ARTERY FLAP WITHOUT CREST, SPINE AND SKIN TO RECONSTRUCT COMPOSITE DEFECTS OF THE MANDIBLE USING VIRTUAL SURGICAL PLANNING AND COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING TECHNOLOGY",Bissinger O.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
636,P093 - THE HOUNSFIELD UNIT AND MAXIMUM STANDARDIZED UPTAKE VALUE OF SINGLE-PHOTON EMISSION COMPUTED TOMOGRAPHY/COMPUTED TOMOGRAPHY IN TEMPOROMANDIBULAR JOINT OSTEOARTHRITIS PATIENTS,Jeong Y.;Jung J.;Park Y.;Kim J.;Huh J.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
637,P131 - EFFICACY OF QUANTITATIVE SINGLE-PHOTON EMISSION COMPUTED TOMOGRAPHY/COMPUTED TOMOGRAPHY IN MEDICATION-RELATED OSTEONECROSIS OF THE JAW,Kono M.;Sugisaki R.;Ekoshi M.;Fujii Y.;Chikazu D.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
638,OR302 - EVALUATION OF THE ACCURACY OF COMPUTER-GUIDED REDUCTION USING MANUALLY ADAPTED MINIPLATES ON STEREOLITHOGRAPHIC MODELS IN ORBITOZYGOMATICOMAXILLARY COMPLEX FRACTURES — A PILOT STUDY,Bagadia R.;Giri G.V.V.;Ravindran C.;Kumar N.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
639,OR049 - COMPUTED TOMOGRAPHY CHARACTERIZATION DIFFERENCES BETWEEN OPERATED AND UNOPERATED ORBITAL INJURIES,Burns S.;Lan G.;Kesterke M.;Sankaranarayanan G.;Bhattacharjee R.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
640,P129 - FIVE-YEAR EXPERIENCE IN CUSTOM COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING POLYETHERETHERKETONE IMPLANTS FOR COMPLEX ORBITOCRANIAL RECONSTRUCTION,Cardenas C.;Flores A. Simón;González Jiménez A.;de Leyva P.;Sánchez-Jáuregui Alpañés E.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
641,OR196 - MAXILLARY RECONSTRUCTION WITH A SCAPULA TIP FREE FLAP AND IMMEDIATE IMPLANTATION USING VIRTUAL SURGICAL PLANNING AND COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING TECHNOLOGY,Maier E.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
642,OR336 - COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING ASSISTED ORTHOGNATHIC SURGERY,Choi J.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
